Tanggal,Judul,Isi Berita,Narasi,Clean Narasi,hoax
2-Dec-24,Kerja Sama dengan Balai Diklat Keagamaan (BDK) Kabupaten Sumedang,Kerjasama Antarlembaga,BDK Kabupaten Sumedang melakukan audiensi dengan Dinas LHK Sumatera Utara untuk menjalin kerja sama dalam bidang pendidikan dan pelatihan terkait lingkungan hidup.,BDK Kabupaten Sumedang menjalin kerja sama dengan Dinas LHK Sumatera Utara untuk bidang pendidikan dan pelatihan terkait lingkungan hidup.,0
18-Nov-25,Kanwil Kemenkum Jabar Laksanakan Pemeriksaan Substantif Permohonan Indikasi Geografis Mangga Gedong Gincu Sumedang,Ekonomi/Hukum,Kanwil Kemenkumham Jawa Barat melakukan pemeriksaan permohonan Indikasi Geografis untuk Mangga Gedong Gincu dari Sumedang.,Kanwil Kemenkumham Jawa Barat melakukan pemeriksaan permohonan Indikasi Geografis untuk Mangga Gedong Gincu Sumedang.,0
28-Sep-25,Turnamen Voli Antar RW di Situraja Meriahkan HUT ke-80 RI,Event Daerah/Olahraga,"Berbagai kegiatan, termasuk turnamen voli, digelar di Situraja untuk memeriahkan peringatan HUT ke-80 Republik Indonesia.","Berbagai kegiatan, termasuk turnamen voli Antar RW, digelar di Situraja untuk memeriahkan peringatan HUT ke-80 RI.",0
18-Nov-25,Pemkab Sumedang akan Bebaskan Biaya Persetujuan Bangunan Gedung untuk Ponpes,Regulasi Daerah/Pendidikan,Pemerintah Kabupaten Sumedang akan membebaskan biaya perizinan Persetujuan Bangunan Gedung (PBG) untuk pondok pesantren.,Pemkab Sumedang akan membebaskan biaya perizinan Persetujuan Bangunan Gedung (PBG) untuk pondok pesantren.,0
17-Nov-25,Pemkab Sumedang Targetkan Pembangunan 39 KDMP dan KKMP hingga Akhir Tahun 2025,Pembangunan Daerah,Pemkab Sumedang menargetkan pembangunan 39 Kawasan Digital Mandiri Pangan (KDMP) dan Kawasan Keberdayaan Masyarakat Pertanian (KKMP) di seluruh wilayah.,Pemkab Sumedang menargetkan pembangunan 39 Kawasan Digital Mandiri Pangan (KDMP) dan Kawasan Keberdayaan Masyarakat Pertanian (KKMP) hingga Akhir Tahun 2025.,0
17-Nov-25,Sumedang Masuk Tiga Besar Literasi Terbaik Kab/Kota di Jawa Barat,Prestasi Daerah/Pendidikan,Kabupaten Sumedang diakui sebagai salah satu dari tiga besar daerah dengan tingkat literasi terbaik di Jawa Barat.,Kabupaten Sumedang diakui sebagai salah satu dari tiga besar daerah dengan tingkat literasi terbaik di Jawa Barat.,0
18-Nov-25,"Perkuat Sinergitas Antar Lembaga, DPRD dan Bank Sumedang Jalin Kerjasama Dengan Kejaksaan",Kerjasama Antarlembaga,DPRD dan Bank Sumedang menjalin kerja sama dengan Kejaksaan untuk memperkuat sinergitas antar lembaga daerah.,DPRD dan Bank Sumedang menjalin kerja sama dengan Kejaksaan untuk memperkuat sinergitas antar lembaga daerah.,0
17-Nov-25,DPKP Sumedang Gelar Gerakan Pangan Murah (GPM) untuk Stabilisasi Harga,Ekonomi/Pangan,Dinas Ketahanan Pangan dan Perikanan (DPKP) Sumedang menyelenggarakan GPM untuk menjaga stabilisasi pasokan dan harga pangan.,Dinas Ketahanan Pangan dan Perikanan (DPKP) Sumedang menyelenggarakan Gerakan Pangan Murah (GPM) untuk stabilisasi harga.,0
17-Nov-25,"UNSAP Sumedang Wisuda 1.262 Lulusan, Dibagi dalam Dua Gelombang",Pendidikan,Universitas Sebelas April (UNSAP) Sumedang melaksanakan wisuda untuk 1.262 lulusannya.,Universitas Sebelas April (UNSAP) Sumedang melaksanakan wisuda untuk 1.262 lulusannya dalam dua gelombang.,0
17-Nov-25,Anggota PPK di Sumedang Mulai Dibekali Tata Cara Pemungutan dan Penghitungan Suara untuk Pilkada,Politik/Pilkada,Anggota Panitia Pemilihan Kecamatan (PPK) di Sumedang menerima pembekalan tentang tata cara pemungutan suara untuk Pilkada.,Anggota Panitia Pemilihan Kecamatan (PPK) di Sumedang menerima pembekalan tentang tata cara pemungutan dan penghitungan suara untuk Pilkada.,0
16-Nov-25,Langkah Pj Bupati Sumedang Dalam Pengendalian Inflasi Dapat Pujian dari Tim Evaluator Kemendagri,Prestasi Daerah/Ekonomi,Langkah dan kebijakan Pj Bupati Sumedang dalam mengendalikan inflasi mendapat apresiasi dan pujian dari Tim Evaluator Kemendagri.,Langkah Pj Bupati Sumedang dalam pengendalian inflasi mendapat apresiasi dan pujian dari Tim Evaluator Kemendagri.,0
17-Nov-25,"Hasil Survei Indikator Politik untuk Pilkada Sumedang, Elektabilitas Pasangan Dony-Fajar Unggul Telak",Politik/Survei,Hasil survei Indikator Politik menunjukkan keunggulan elektabilitas Pasangan Dony-Fajar dalam Pilkada Sumedang.,Hasil Survei Indikator Politik menunjukkan keunggulan elektabilitas Pasangan Dony-Fajar dalam Pilkada Sumedang.,0
16-Nov-25,"Tak Bisa Ikuti Seleksi CPNS dan PPPK, Nakes Non ASN di Sumedang Mengadu ke DPRD",Ketenagakerjaan/Legislatif,Berita mengenai Nakes Non ASN di Sumedang yang menyampaikan keluhan dan mengadu ke DPRD karena tidak dapat mengikuti seleksi CPNS dan PPPK.,Nakes Non ASN di Sumedang menyampaikan keluhan dan mengadu ke DPRD karena tidak dapat mengikuti seleksi CPNS dan PPPK.,0
17-Nov-25,"Bupati Dony Turun Tangan, Atasi Saluran Air Mampet di Jalan P Gajah Agung",Pemerintahan/Infrastruktur,Bupati Dony secara langsung meninjau dan mengatasi masalah saluran air yang mampet di Jalan P Gajah Agung.,Bupati Dony secara langsung meninjau dan mengatasi masalah saluran air yang mampet di Jalan P Gajah Agung.,0
13-Sep-25,"Tok, Perda APBD Perubahan Sumedang 2025 di Sahkan DPRD",Legislatif/Keuangan Daerah,DPRD Kabupaten Sumedang mengesahkan Peraturan Daerah (Perda) tentang APBD Perubahan Tahun Anggaran 2025.,DPRD Kabupaten Sumedang mengesahkan Peraturan Daerah (Perda) tentang APBD Perubahan Tahun Anggaran 2025.,0
13-Sep-25,Bupati Dony Tinjau Pelaksanaan BIAS di SDN Sindangraja,Kesehatan/Pendidikan,Bupati Dony Ahmad Munir meninjau langsung pelaksanaan Bulan Imunisasi Anak Sekolah (BIAS) di SDN Sindangraja.,Bupati Dony Ahmad Munir meninjau langsung pelaksanaan Bulan Imunisasi Anak Sekolah (BIAS) di SDN Sindangraja.,0
13-Sep-25,Bupati Dony Usulkan Penambahan Pintu Tol di Wilayah Jatinangor ke Arah Sumedang,Infrastruktur,Bupati Dony mengusulkan penambahan pintu tol di Jatinangor untuk mempermudah akses ke wilayah Sumedang.,Bupati Dony mengusulkan penambahan pintu tol di Jatinangor untuk mempermudah akses ke wilayah Sumedang.,0
13-Sep-25,Pemkab Sumedang Berkomitmen Wujudkan Jalan Leucir nepi Ka Desa,Pemerintahan/Infrastruktur,Pemkab Sumedang berkomitmen untuk mewujudkan kondisi jalan yang baik (*leucir*) hingga ke tingkat desa.,Pemkab Sumedang berkomitmen untuk mewujudkan kondisi jalan yang baik (*leucir*) hingga ke tingkat desa.,0
18-Mar-25,Peraturan Bupati (Perbup) NO. 14 Tahun 2025 tentang Perubahan atas Perbup No. 52 Tahun 2024 (Penjabaran APBD 2025),Regulasi Daerah/Keuangan,Peraturan Bupati yang mengubah beberapa ketentuan terkait Penjabaran Anggaran Pendapatan dan Belanja Daerah (APBD) Tahun Anggaran 2025.,Peraturan Bupati yang mengubah beberapa ketentuan terkait Penjabaran Anggaran Pendapatan dan Belanja Daerah (APBD) Tahun Anggaran 2025.,0
4-Mar-25,"Wakil Bupati Sumedang Tinjau Kinerja Diskominfosanditik, Dorong Digitalisasi Daerah",Pemerintahan/Digitalisasi,Wakil Bupati Fajar Aldila meninjau Diskominfosanditik untuk memastikan kesiapan dan kinerja dinas dalam mengembangkan sistem informasi dan digitalisasi daerah.,Wakil Bupati Fajar Aldila meninjau Diskominfosanditik untuk memastikan kesiapan dan kinerja dinas dalam mengembangkan sistem informasi dan digitalisasi daerah.,0
19-Mar-25,BPJS Kesehatan Pastikan Akses Layanan JKN Tetap Terbuka Selama Libur Lebaran 2025,Kesehatan/Layanan Publik,BPJS Kesehatan Sumedang mengumumkan bahwa akses layanan JKN akan tetap tersedia selama periode libur Lebaran 2025.,BPJS Kesehatan Sumedang mengumumkan bahwa akses layanan JKN akan tetap tersedia selama periode libur Lebaran 2025.,0
4-Mar-25,"Banjir Cimanggung, Pemda Sumedang Siapkan Posko Tanggap Darurat",Bencana/Penanganan,Pemda Sumedang menyiapkan posko tanggap darurat untuk menangani banjir akibat luapan Sungai Cimande di Kecamatan Cimanggung.,Pemda Sumedang menyiapkan posko tanggap darurat untuk menangani banjir akibat luapan Sungai Cimande di Kecamatan Cimanggung.,0
4-Mar-25,Kabupaten Sumedang Gencarkan Sosialisasi Kebijakan Penggunaan DBHCHT 2025,Pemerintahan/Keuangan Daerah,Pemkab Sumedang gencar menyosialisasikan kebijakan penggunaan Dana Bagi Hasil Cukai Hasil Tembakau (DBHCHT) Tahun 2025.,Pemkab Sumedang gencar menyosialisasikan kebijakan penggunaan Dana Bagi Hasil Cukai Hasil Tembakau (DBHCHT) Tahun 2025.,0
21 May 2025,BKN Apresiasi Pemkab Sumedang: 174 CPNS Resmi Bergabung Lewat Proses Seleksi Transparan dan Akuntabel,Pemerintahan/Kepegawaian,"BKN memberikan apresiasi kepada Pemkab Sumedang atas proses seleksi CPNS yang transparan, dengan 174 CPNS resmi bergabung.","BKN memberikan apresiasi kepada Pemkab Sumedang atas proses seleksi CPNS yang transparan, dengan 174 CPNS resmi bergabung.",0
14-Nov-25,Pemkab Sumedang Siap Tawarkan Investasi di WJIS 2025,Ekonomi/Investasi,Pemkab Sumedang berkomitmen membangun daerah ramah investasi dan siap mempresentasikan potensi investasi di ajang West Java Investment Summit (WJIS) 2025.,Pemkab Sumedang berkomitmen membangun daerah ramah investasi dan siap mempresentasikan potensi investasi di ajang West Java Investment Summit (WJIS) 2025.,0
31-Oct-22,Diskominfosanditik Sumedang Raih Penghargaan Provinsi dan Nasional,Prestasi Daerah/Digitalisasi,"Diskominfosanditik Sumedang meraih enam penghargaan di tingkat provinsi dan dua di level nasional, termasuk Kabupaten Informatif dan Kabupaten Terbaik SPBE.","Diskominfosanditik Sumedang meraih enam penghargaan di tingkat provinsi dan dua di level nasional, termasuk Kabupaten Informatif dan Kabupaten Terbaik SPBE.",0
9-Dec-22,Sumedang Raih Predikat Kabupaten Informatif Tingkat Jawa Barat,Prestasi Daerah/KIP,Diskominfosanditik Sumedang meraih Anugerah Keterbukaan Informasi Publik (KIP Award) Jawa Barat Tahun 2022.,Diskominfosanditik Sumedang meraih Anugerah Keterbukaan Informasi Publik (KIP Award) Jawa Barat Tahun 2022.,0
14-Jun-23,Diskominfosanditik Sumedang Dorong Masyarakat Agar Melek Digital,Pendidikan/Digitalisasi,Kepala Diskominfosanditik Sumedang mensosialisasikan literasi digital kepada masyarakat.,Kepala Diskominfosanditik Sumedang mensosialisasikan literasi digital kepada masyarakat.,0
13-Dec-24,Diskominfosanditik Sumedang Gelar Peningkatan Kapasitas KIM di Pangandaran,Pemerintahan/Komunikasi,Diskominfosanditik mengadakan kegiatan peningkatan kapasitas untuk Forum Komunitas Informasi Masyarakat (F-KIM) untuk memperkuat peran dalam penyebaran informasi valid.,Diskominfosanditik mengadakan kegiatan peningkatan kapasitas untuk Forum Komunitas Informasi Masyarakat (F-KIM) untuk memperkuat peran dalam penyebaran informasi valid.,0
30-Apr-22,Kabupaten Sumedang Raih Penghargaan Kabupaten Terbaik Kedua Tingkat Nasional PPD 2022 (Bappenas),Prestasi Daerah,Kabupaten Sumedang dinobatkan sebagai kabupaten terbaik kedua nasional dalam perencanaan pencapaian inovasi pembangunan pada Anugerah Penghargaan Pembangunan Daerah (PPD) Tahun 2022.,Kabupaten Sumedang dinobatkan sebagai kabupaten terbaik kedua nasional dalam perencanaan pencapaian inovasi pembangunan pada Anugerah Penghargaan Pembangunan Daerah (PPD) Tahun 2022.,0
29-Apr-23,Pemkab Sumedang Raih Peringkat Ke-2 Terbaik Penyelenggara Daerah Nasional (EPPD 2022),Prestasi Daerah,Bupati Dony Ahmad Munir menerima Penghargaan Parasamya Purnakarya Nugraha atas kinerja terbaik ke-2 dari 415 kabupaten se-Indonesia dalam EPPD Tahun 2022.,Bupati Dony Ahmad Munir menerima Penghargaan Parasamya Purnakarya Nugraha atas kinerja terbaik ke-2 dari 415 kabupaten se-Indonesia dalam EPPD Tahun 2022.,0
31-Dec-24,Pemkab Sumedang Berhasil Meraih 52 Penghargaan Selama Tahun 2024,Prestasi Daerah,Pj Bupati Yudia Ramli memaparkan capaian keberhasilan Pemkab Sumedang yang meraih total 52 penghargaan sepanjang tahun 2024.,Pj Bupati Yudia Ramli memaparkan capaian keberhasilan Pemkab Sumedang yang meraih total 52 penghargaan sepanjang tahun 2024.,0
8-Oct-24,Pemkab Sumedang Raih Penghargaan Pelayanan Publik Terbaik dari MenPAN-RB,Prestasi Daerah/Layanan Publik,"Pemkab Sumedang meraih penghargaan Pelayanan Publik Terbaik dari MenPAN-RB, disertai peluncuran Mal Pelayanan Publik Digital (MPPD).","Pemkab Sumedang meraih penghargaan Pelayanan Publik Terbaik dari MenPAN-RB, disertai peluncuran Mal Pelayanan Publik Digital (MPPD).",0
30-Apr-23,Kabupaten Sumedang Raih Penghargaan Kinerja Terbaik Tahun 2023,Prestasi Daerah,Penghargaan tersebut melengkapi berbagai penghargaan yang telah diraih sebelumnya pada masa kepemimpinan Bupati Dony dan Wakil Bupati Erwan.,Penghargaan Kinerja Terbaik Tahun 2023 melengkapi berbagai penghargaan yang telah diraih sebelumnya pada masa kepemimpinan Bupati Dony dan Wakil Bupati Erwan.,0
28-Dec-24,Puluhan Desa di Sumedang Berhasil Torehkan Prestasi di Tahun 2024,Pemerintahan Desa,DPMD Sumedang mengadakan Rapat Koordinasi Penyelenggaraan Pemerintah Desa terkait prestasi desa-desa sepanjang tahun 2024.,DPMD Sumedang mengadakan Rapat Koordinasi Penyelenggaraan Pemerintah Desa terkait prestasi desa-desa sepanjang tahun 2024.,0
17-Nov-25,Pemkab Sumedang Berencana untuk Integrasikan Program Starbak dengan KDMP dan MBG,Pembangunan Daerah/Digitalisasi,Rencana Pemkab Sumedang untuk mengintegrasikan program Starbak dengan Kawasan Digital Mandiri Pangan (KDMP) dan Masjid Berbasis Gadget (MBG).,Rencana Pemkab Sumedang untuk mengintegrasikan program Starbak dengan Kawasan Digital Mandiri Pangan (KDMP) dan Masjid Berbasis Gadget (MBG).,0
